,PID,type2,month,M_ID,q1,q2_a_1,q5,q5_1,q5_2_1,q5_2_2,q5_2_3,q5_2_4,q5_2_5,q5_2_6,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q10_10,q10_11,q10_12,wt,q6_1,q6_1_1,q6_2,q6_6_1,q6_6_2,q6_6_3,q6_6_4,q6_6_5,q6_6_6,q6_6_7,q6_6_8,q6_6_9,q6_6_10,q6_6_11,q6_6_12,q6_6_13,q6_6_14,q6_6_15,q6_6_16,q6_6_17,q6_6_18,q6_6_19,q6_6_20,q6_6_21,q6_7,q6_8,q6_9,q7_2
36,1000901,2,10,123604,2,10,1,6,1,,,,,,4,4,4,4,4,4,4,4,4,9,4,4,11959.27424,932,10,2,,,,,,,,,,10,,,,,,,,,,,,4,4,4,240000
37,1000901,2,12,123602,2,12,1,4,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,11959.27424,932,310,3,,,,,,,,,,10,,,,,,,,,,,,4,4,4,350000
38,1000902,1,1,110802,2,1,1,14,,,3,,,,3,3,3,4,3,3,3,3,3,9,3,3,14346.83281,932,60,2,1,,3,,,,,,,,,,,,,,,,,,,3,3,3,175000
39,1001001,2,10,122603,1,10,1,11,,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,10326.75816,934,370,1,1,2,,,,,,,,,,,,,,,,,,,21,4,4,4,75000
40,1001002,1,4,108971,1,4,1,5,1,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,4748.045453,935,320,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,40000
41,1001002,1,5,108977,1,5,1,5,1,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,4748.045453,932,340,1,1,2,3,,,,,,,,,,,,,,,,,,,4,4,4,50000
42,1001002,2,7,122691,2,7,1,6,,,,,5,,4,4,4,9,4,9,4,4,4,4,4,4,4748.045453,935,320,3,1,2,3,,5,,,,,,,,,,,,,,,,,4,4,4,70000
43,1001002,2,10,122603,1,10,1,11,,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,4748.045453,934,370,1,1,2,,,,,,,,,,,,,,,,,,,21,4,4,4,75000
44,1001002,2,11,122692,1,11,1,6,1,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,4748.045453,931,270,1,1,2,3,,,6,,,,,,,,,,,,,,,,4,4,4,50000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
