PID	M_ID	nature	traffic	food	info	facility	kind	total	loc_code	money	age	age_group	money_group	label_group	a_c
1004101	120877	4	4	4	3	3	4	4	932060	125000	36	3	3	9	강원 속초시
1004102	120877	4	4	4	3	3	4	4	932060	125000	35	3	3	9	강원 속초시
1004202	119516	4	4	4	4	4	4	4	932060	10000	75	5	1	13	강원 속초시
1004602	102708	4	4	3	3	4	3	4	932060	48333	49	4	1	10	강원 속초시
1004602	119855	4	4	4	3	4	4	4	932060	62333	49	4	2	11	강원 속초시
1004603	102708	4	4	3	3	4	3	4	932060	48333	19	1	1	1	강원 속초시
1005102	122742	4	4	4	4	4	4	4	932060	15000	67	5	1	13	강원 속초시
1007401	123704	3	3	3	3	3	3	3	932060	100000	90	6	3	18	강원 속초시
1007803	114950	5	4	5	5	4	4	4	932060	75000	34	3	2	8	강원 속초시
1007804	114950	5	4	5	5	4	4	4	932060	75000	35	3	2	8	강원 속초시
1008601	122605	4	4	4	4	4	4	5	932060	45000	61	5	1	13	강원 속초시
1008602	122605	4	4	4	4	4	4	5	932060	45000	55	4	1	10	강원 속초시
1011102	120330	4	3	3	3	3	4	4	932060	100000	64	5	3	15	강원 속초시
1011103	120319	4	3	4	4	4	4	4	932060	233333	35	3	3	9	강원 속초시
1011103	120322	4	4	3	3	4	4	4	932060	300000	35	3	3	9	강원 속초시
1011503	102066	4	4	4	3	3	3	4	932060	75000	44	3	2	8	강원 속초시
1011503	900079	4	4	4	3	3	3	4	932060	75000	44	3	2	8	강원 속초시
1011504	120314	4	3	4	4	4	4	4	932060	150000	42	3	3	9	강원 속초시
1012401	103065	5	4	4	4	4	4	5	932060	41667	51	4	1	10	강원 속초시
1012402	103065	5	4	4	4	4	4	5	932060	41667	21	2	1	4	강원 속초시
1012403	103065	5	4	4	4	4	4	5	932060	41667	18	1	1	1	강원 속초시
1013201	109805	5	4	4	4	4	3	4	932060	37500	53	4	1	10	강원 속초시
1013201	121366	5	4	4	4	4	4	5	932060	155000	53	4	3	12	강원 속초시
1013202	109805	5	4	4	4	4	3	4	932060	37500	52	4	1	10	강원 속초시
1013202	121366	5	4	4	4	4	4	5	932060	155000	52	4	3	12	강원 속초시
1013203	109805	5	4	4	4	4	3	4	932060	37500	27	2	1	4	강원 속초시
1013203	121366	5	4	4	4	4	4	5	932060	155000	27	2	3	6	강원 속초시
1013204	109805	5	4	4	4	4	3	4	932060	37500	24	2	1	4	강원 속초시
1013204	121366	5	4	4	4	4	4	5	932060	155000	24	2	3	6	강원 속초시
1014301	120284	4	3	4	4	3	3	4	932060	287500	65	5	3	15	강원 속초시
1014302	120284	4	3	4	4	3	3	4	932060	287500	65	5	3	15	강원 속초시
1014302	120299	4	4	4	4	4	4	4	932060	75000	65	5	2	14	강원 속초시
1014901	122768	4	4	4	4	4	4	4	932060	144167	50	4	3	12	강원 속초시
1014902	122768	4	4	4	4	4	4	4	932060	144167	47	4	3	12	강원 속초시
1014903	122768	4	4	4	4	4	4	4	932060	144167	20	2	3	6	강원 속초시
1014904	122768	4	4	4	4	4	4	4	932060	144167	18	1	3	3	강원 속초시
1015401	118447	5	4	5	4	4	5	4	932060	30000	85	6	1	16	강원 속초시
1015402	118447	5	4	5	4	4	5	4	932060	30000	71	5	1	13	강원 속초시
1015902	107206	5	4	4	4	4	4	5	932060	100000	60	5	3	15	강원 속초시
1016602	117622	4	4	3	3	3	3	4	932060	166667	49	4	3	12	강원 속초시
1016801	118348	4	4	4	4	4	4	4	932060	62500	56	4	2	11	강원 속초시
1016802	118348	4	4	4	4	4	4	4	932060	62500	57	4	2	11	강원 속초시
1016803	118348	4	4	4	4	4	4	4	932060	62500	25	2	2	5	강원 속초시
1016804	118348	4	4	4	4	4	4	4	932060	62500	24	2	2	5	강원 속초시
1017201	106937	4	4	4	4	4	4	4	932060	5000	85	6	1	16	강원 속초시
1017701	117194	4	4	4	3	4	3	4	932060	62500	44	3	2	8	강원 속초시
1017702	117194	4	4	4	3	4	3	4	932060	62500	38	3	2	8	강원 속초시
1018303	121763	5	4	4	4	4	4	4	932060	50000	45	3	2	8	강원 속초시
1018304	121763	5	4	4	4	4	4	4	932060	50000	45	3	2	8	강원 속초시
1018502	118281	4	4	4	4	4	4	4	932060	125000	55	4	3	12	강원 속초시
1021301	120365	4	4	4	4	4	4	4	932060	58333	77	5	2	14	강원 속초시
1021302	120365	4	4	4	4	4	4	4	932060	58333	75	5	2	14	강원 속초시
1021303	120365	4	4	4	4	4	4	4	932060	58333	41	3	2	8	강원 속초시
1021502	117487	4	4	4	4	4	4	4	932060	150000	74	5	3	15	강원 속초시
1023501	117084	4	4	4	4	4	4	4	932060	61111	60	5	2	14	강원 속초시
1023502	117084	4	4	4	4	4	4	4	932060	61111	62	5	2	14	강원 속초시
