,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
7081,1188003,119040,5,4,3,4,4,4,4,931210,50000,18,1,2,2,경기 이천시,9
7082,1195303,122050,4,4,3,4,4,4,4,931210,300000,28,2,3,6,경기 이천시,9
7083,1195303,122159,4,4,3,4,4,4,4,931210,300000,28,2,3,6,경기 이천시,9
7084,1523705,121460,4,3,4,3,4,4,4,931210,100000,21,2,3,6,경기 이천시,9
7085,1004701,105799,5,4,4,4,4,3,4,939010,33333,80,6,1,16,제주 제주시,9
7086,1278901,116996,5,4,4,4,4,4,4,939010,30000,87,6,1,16,제주 제주시,9
7087,1280001,106938,3,4,3,3,4,3,4,939010,20000,83,6,1,16,제주 제주시,9
7088,1511201,110323,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7089,1511201,110326,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7090,1511201,115138,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7091,1511201,115144,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7092,1511201,115145,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7093,1511201,115153,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7094,1511201,115155,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7095,1511201,115159,4,4,4,4,4,4,4,939010,10000,82,6,1,16,제주 제주시,9
7096,1004702,105799,5,4,4,4,4,3,4,939010,33333,75,5,1,13,제주 제주시,9
7097,1018301,110397,4,4,4,4,4,4,4,939010,46667,73,5,1,13,제주 제주시,9
7098,1018302,110397,4,4,4,4,4,4,4,939010,46667,69,5,1,13,제주 제주시,9
7099,1122001,116391,4,4,4,4,4,4,4,939010,41667,70,5,1,13,제주 제주시,9
7100,1122002,116391,4,4,4,4,4,4,4,939010,41667,70,5,1,13,제주 제주시,9
7101,1238401,117905,5,4,4,4,5,4,4,939010,11111,68,5,1,13,제주 제주시,9
7102,1238402,117905,5,4,4,4,5,4,4,939010,11111,62,5,1,13,제주 제주시,9
7103,1238601,122418,5,4,4,4,5,4,5,939010,7500,66,5,1,13,제주 제주시,9
7104,1238602,122418,5,4,4,4,5,4,5,939010,7500,63,5,1,13,제주 제주시,9
7105,1280002,118544,5,5,4,5,5,5,5,939010,30000,79,5,1,13,제주 제주시,9
7106,1280301,117957,4,4,4,4,4,4,4,939010,0,66,5,1,13,제주 제주시,9
7107,1280302,117957,4,4,4,4,4,4,4,939010,0,68,5,1,13,제주 제주시,9
7108,1280401,114899,4,4,4,4,4,4,4,939010,0,77,5,1,13,제주 제주시,9
7109,1280801,114901,4,4,4,4,4,4,4,939010,0,79,5,1,13,제주 제주시,9
7110,1281201,114905,4,4,4,4,4,4,4,939010,0,79,5,1,13,제주 제주시,9
7111,1281202,114905,4,4,4,4,4,4,4,939010,0,76,5,1,13,제주 제주시,9
7112,1508401,110827,4,4,5,4,4,4,4,939010,40000,68,5,1,13,제주 제주시,9
7113,1508402,110827,4,4,5,4,4,4,4,939010,40000,62,5,1,13,제주 제주시,9
7114,1010101,105521,5,4,4,5,4,4,4,939010,400000,46,4,3,12,제주 제주시,9
7115,1075901,113483,4,4,4,4,4,4,4,939010,150000,49,4,3,12,제주 제주시,9
7116,1075902,113483,4,4,4,4,4,4,4,939010,150000,50,4,3,12,제주 제주시,9
7117,1127001,100315,5,4,4,4,4,5,4,939010,133333,50,4,3,12,제주 제주시,9
7118,1128401,100630,4,4,4,4,4,4,5,939010,133333,51,4,3,12,제주 제주시,9
7119,1128402,100630,4,4,4,4,4,4,5,939010,133333,51,4,3,12,제주 제주시,9
7120,1165702,106223,4,3,3,4,4,4,5,939010,100000,52,4,3,12,제주 제주시,9
7121,1222301,116961,5,5,4,5,5,4,4,939010,236250,58,4,3,12,제주 제주시,9
7122,1222302,116961,5,5,4,5,5,4,4,939010,236250,55,4,3,12,제주 제주시,9
7123,1236701,106037,3,3,3,4,4,4,3,939010,225000,50,4,3,12,제주 제주시,9
7124,1311801,110410,5,5,5,5,5,5,5,939010,216667,52,4,3,12,제주 제주시,9
7125,1536701,115830,5,4,4,4,4,4,5,939010,107143,56,4,3,12,제주 제주시,9
7126,1536702,115830,5,4,4,4,4,4,5,939010,107143,55,4,3,12,제주 제주시,9
7127,1010102,105521,5,4,4,5,4,4,4,939010,400000,42,3,3,9,제주 제주시,9
7128,1019801,118046,5,4,4,4,4,4,4,939010,166667,44,3,3,9,제주 제주시,9
7129,1019802,118046,5,4,4,4,4,4,4,939010,166667,44,3,3,9,제주 제주시,9
7130,1041301,105577,4,4,4,3,4,4,4,939010,165000,41,3,3,9,제주 제주시,9
7131,1041302,105577,4,4,4,3,4,4,4,939010,165000,39,3,3,9,제주 제주시,9
7132,1124501,301015,5,5,5,4,5,5,5,939010,250000,44,3,3,9,제주 제주시,9
7133,1124502,301015,5,5,5,4,5,5,5,939010,250000,37,3,3,9,제주 제주시,9
7134,1153403,110645,5,5,5,5,5,5,5,939010,100000,35,3,3,9,제주 제주시,9
7135,1153403,122833,5,5,5,5,5,5,4,939010,110466,35,3,3,9,제주 제주시,9
7136,1206901,119306,5,4,4,4,4,4,4,939010,132500,42,3,3,9,제주 제주시,9
7137,1206902,119306,5,4,4,4,4,4,4,939010,132500,38,3,3,9,제주 제주시,9
7138,1208401,301241,5,3,4,4,4,4,5,939010,200000,39,3,3,9,제주 제주시,9
7139,1208402,301241,5,3,4,4,4,4,5,939010,200000,38,3,3,9,제주 제주시,9
7140,1209202,113643,5,5,4,4,4,4,4,939010,125000,36,3,3,9,제주 제주시,9
7141,1209203,113643,5,5,4,4,4,4,4,939010,125000,34,3,3,9,제주 제주시,9
7142,1230204,105837,4,4,3,4,4,3,4,939010,200000,38,3,3,9,제주 제주시,9
7143,1234806,107132,4,4,3,4,4,4,4,939010,229000,33,3,3,9,제주 제주시,9
7144,1255802,101472,4,4,4,3,3,4,3,939010,100000,44,3,3,9,제주 제주시,9
7145,1278201,118676,4,4,4,4,4,4,4,939010,135000,45,3,3,9,제주 제주시,9
7146,1278202,118676,4,4,4,4,4,4,4,939010,135000,43,3,3,9,제주 제주시,9
7147,1301401,105837,4,4,3,4,4,3,4,939010,200000,34,3,3,9,제주 제주시,9
7148,1502201,122707,4,4,4,4,4,4,4,939010,128000,33,3,3,9,제주 제주시,9
7149,1502202,122707,4,4,4,4,4,4,4,939010,128000,39,3,3,9,제주 제주시,9
7150,1536602,103546,5,3,4,3,3,3,5,939010,175000,41,3,3,9,제주 제주시,9
7151,1019701,118800,4,4,4,4,4,4,4,939010,83333,54,4,2,11,제주 제주시,9
