,PID,q6_1,q6_1_1,,new
407,1008102,932,30,030,932030
408,,,,000,000
409,1008201,937,90,090,937090
410,1008201,933,380,380,933380
411,,,,000,000
412,1008202,937,90,090,937090
413,1008202,933,380,380,933380
414,1008301,937,380,380,937380
415,1008301,939,20,020,939020
416,1008301,937,40,040,937040
417,1008301,931,380,380,931380
418,1008301,937,330,330,937330
419,1008302,939,20,020,939020
420,1008302,932,30,030,932030
421,1008401,923,10,010,923010
422,,,,000,000
423,1008401,923,10,010,923010
424,1008401,931,220,220,931220
425,1008401,931,200,200,931200
426,1008401,931,380,380,931380
427,1008401,937,90,090,937090
428,1008401,911,20,020,911020
429,1008401,911,90,090,911090
430,1008402,923,10,010,923010
431,,,,000,000
432,1008402,931,370,370,931370
433,1008402,923,10,010,923010
434,1008402,931,220,220,931220
435,1008402,931,200,200,931200
436,1008402,931,380,380,931380
437,1008402,937,90,090,937090
438,1008402,911,20,020,911020
439,1008402,911,90,090,911090
440,1008402,911,10,010,911010
441,1008403,923,10,010,923010
442,,,,000,000
443,1008403,923,10,010,923010
444,1008403,931,200,200,931200
445,1008403,931,380,380,931380
446,1008403,937,90,090,937090
447,1008403,911,20,020,911020
448,1008403,911,10,010,911010
449,,,,000,000
450,1008404,923,10,010,923010
451,1008404,931,380,380,931380
452,1008404,937,90,090,937090
453,1008404,911,20,020,911020
454,1008404,911,10,010,911010
455,1008501,932,350,350,932350
456,1008502,932,350,350,932350
457,1008504,932,10,010,932010
458,1008601,932,310,310,932310
459,1008601,931,130,130,931130
460,1008601,932,310,310,932310
461,1008601,932,60,060,932060
462,1008602,934,380,380,934380
463,1008602,931,10,010,931010
464,1008602,932,310,310,932310
465,1008602,931,130,130,931130
466,1008602,932,310,310,932310
467,1008602,932,60,060,932060
468,1008602,935,10,010,935010
469,1008602,932,30,030,932030
470,1008603,931,130,130,931130
471,1008603,932,390,390,932390
472,1008604,921,90,090,921090
473,1008801,932,340,340,932340
474,1008801,931,270,270,931270
475,1008801,932,340,340,932340
476,1008802,932,340,340,932340
477,1008802,931,270,270,931270
478,1008802,932,340,340,932340
479,1008901,932,410,410,932410
480,1008901,932,310,310,932310
481,1008901,933,360,360,933360
482,1008902,932,410,410,932410
483,1008902,932,310,310,932310
484,1008902,933,360,360,933360
485,1009601,911,10,010,911010
486,1009601,911,10,010,911010
487,1009901,931,260,260,931260
488,1009902,931,260,260,931260
489,1009902,938,30,030,938030
490,1010001,937,100,100,937100
491,1010101,937,40,040,937040
492,1010101,939,10,010,939010
493,1010101,932,400,400,932400
494,1010102,937,40,040,937040
495,1010102,939,10,010,939010
496,1010102,932,400,400,932400
497,1010201,932,30,030,932030
498,1010201,922,70,070,922070
499,1010201,921,90,090,921090
500,1010202,932,310,310,932310
501,1010202,932,30,030,932030
502,1010202,922,70,070,922070
503,1010202,921,90,090,921090
504,,,,000,000
505,,,,000,000
506,,,,000,000
507,,,,000,000
508,1010501,935,10,010,935010
509,1010501,933,380,380,933380
510,1010502,934,380,380,934380
511,1010502,935,10,010,935010
512,1010502,933,380,380,933380
513,1010503,935,10,010,935010
514,1010503,933,380,380,933380
515,1010701,934,40,040,934040
516,1010701,923,320,320,923320
517,1010701,934,40,040,934040
518,,,,000,000
519,1010702,934,40,040,934040
520,1010702,931,370,370,931370
521,1010702,931,370,370,931370
522,1010702,934,40,040,934040
523,,,,000,000
524,1010801,937,420,420,937420
525,1010801,932,370,370,932370
526,1010802,937,420,420,937420
527,1010802,933,320,320,933320
528,1010802,932,370,370,932370
529,1010802,933,320,320,933320
530,1010803,937,420,420,937420
531,1010803,932,370,370,932370
532,1010901,937,10,010,937010
533,1010901,937,90,090,937090
534,1010901,937,10,010,937010
535,1010902,937,10,010,937010
536,1010902,931,20,020,931020
537,1010902,931,380,380,931380
538,1010902,937,90,090,937090
539,1010902,937,10,010,937010
540,1010903,937,10,010,937010
541,1010903,931,380,380,931380
542,1010903,937,90,090,937090
543,1011001,911,10,010,911010
