,PID,M_ID,nature,traffic,food,info,facility,kind,total,loc_code,money,age,age_group,money_group,label_group,a_c,all
4618,1280001,106941,4,4,4,4,4,4,5,931190,133333,83,6,3,18,경기 용인시,8
4619,1002801,110656,4,5,4,4,4,4,4,931030,50000,82,6,2,17,경기 의정부시,6
4620,1025402,107782,4,4,4,4,4,4,4,931030,30000,72,5,1,13,경기 의정부시,6
4621,1029001,119947,4,4,3,4,4,3,4,931030,10000,74,5,1,13,경기 의정부시,6
4622,1029002,119947,4,4,3,4,4,3,4,931030,10000,68,5,1,13,경기 의정부시,6
4623,1148301,118563,4,4,4,4,4,4,4,931030,25000,78,5,1,13,경기 의정부시,6
4624,1148302,118563,4,4,4,4,4,4,4,931030,25000,73,5,1,13,경기 의정부시,6
4625,1165101,120811,4,3,4,3,4,3,4,931030,25000,74,5,1,13,경기 의정부시,6
4626,1142701,110899,4,5,4,4,4,4,3,931030,10000,85,6,1,16,경기 의정부시,6
4627,1147401,109871,4,4,4,4,4,4,4,931030,15000,56,4,1,10,경기 의정부시,6
4628,1147402,109871,4,4,4,4,4,4,4,931030,15000,55,4,1,10,경기 의정부시,6
4629,1148002,301106,5,5,5,4,5,5,5,931030,0,45,3,1,7,경기 의정부시,6
4630,1180501,118298,3,4,4,3,3,3,4,931030,107000,60,5,3,15,경기 의정부시,6
4631,1180502,118298,3,4,4,3,3,3,4,931030,107000,60,5,3,15,경기 의정부시,6
4632,1182901,114769,4,5,5,4,4,4,4,931030,115000,79,5,3,15,경기 의정부시,6
4633,1182902,114769,4,5,5,4,4,4,4,931030,115000,76,5,3,15,경기 의정부시,6
4634,1523902,300716,3,3,3,3,4,3,4,931030,50000,57,4,2,11,경기 의정부시,6
4635,1002801,110654,4,4,4,4,4,4,4,911100,30000,82,6,1,16,서울 도봉구,6
4636,1002802,110654,4,4,4,4,4,4,4,911100,30000,79,5,1,13,서울 도봉구,6
4637,1003202,123255,3,3,3,3,3,3,4,911100,7000,74,5,1,13,서울 도봉구,6
4638,1008001,123656,3,3,3,3,3,3,3,911100,8000,71,5,1,13,서울 도봉구,6
4639,1045801,122825,5,5,4,5,5,5,4,911100,30000,78,5,1,13,서울 도봉구,6
4640,1098901,121558,4,4,4,3,4,4,4,911100,40000,63,5,1,13,서울 도봉구,6
4641,1150902,121007,4,4,3,3,4,4,4,911100,20000,70,5,1,13,서울 도봉구,6
4642,1007801,123692,4,3,3,3,3,3,3,911100,200000,71,5,3,15,서울 도봉구,6
4643,1007802,123692,4,3,3,3,3,3,3,911100,200000,64,5,3,15,서울 도봉구,6
4644,1008002,123672,3,3,3,3,3,3,3,911100,100000,68,5,3,15,서울 도봉구,6
4645,1228501,115991,4,3,4,4,4,4,4,911100,150000,64,5,3,15,서울 도봉구,6
4646,1016203,109089,4,4,3,3,2,3,4,911100,20000,49,4,1,10,서울 도봉구,6
4647,1016203,109093,4,3,3,4,4,3,4,911100,25000,49,4,1,10,서울 도봉구,6
4648,1017901,109597,4,4,4,4,4,4,4,911100,20000,58,4,1,10,서울 도봉구,6
4649,1048003,123300,5,5,4,4,4,4,5,911100,40000,46,4,1,10,서울 도봉구,6
4650,1133202,300875,5,4,4,4,4,4,4,911100,19200,58,4,1,10,서울 도봉구,6
4651,1173201,109030,4,3,4,4,2,2,4,911100,20000,56,4,1,10,서울 도봉구,6
4652,1523902,300715,4,4,3,4,4,4,4,911100,40000,57,4,1,10,서울 도봉구,6
4653,1134102,116906,4,3,3,4,4,3,4,911100,100000,44,3,3,9,서울 도봉구,6
4654,1142701,110901,3,3,3,3,3,3,3,911100,60000,85,6,2,17,서울 도봉구,6
4655,1146204,301409,5,4,4,4,4,4,5,911100,0,25,2,1,4,서울 도봉구,6
4656,1523503,301883,5,4,4,5,4,4,4,911100,17600,34,3,1,7,서울 도봉구,6
4657,1002802,110655,4,4,5,4,4,4,5,923010,0,79,5,1,13,인천 중구,5
4658,1007101,123606,4,5,3,3,3,4,4,923010,30000,72,5,1,13,인천 중구,5
4659,1018401,106042,4,4,4,4,4,4,4,923010,40000,75,5,1,13,인천 중구,5
4660,1031101,115148,4,5,5,4,4,5,4,923010,36000,68,5,1,13,인천 중구,5
4661,1031102,115148,4,5,5,4,4,5,4,923010,36000,60,5,1,13,인천 중구,5
4662,1039302,120004,4,4,5,3,4,4,4,923010,10000,78,5,1,13,인천 중구,5
4663,1124201,104935,4,4,4,3,4,4,4,923010,7500,72,5,1,13,인천 중구,5
4664,1124202,104935,4,4,4,3,4,4,4,923010,7500,65,5,1,13,인천 중구,5
4665,1134601,107397,4,3,4,3,3,3,4,923010,25000,60,5,1,13,인천 중구,5
4666,1134601,120193,4,4,4,4,4,4,4,923010,20000,60,5,1,13,인천 중구,5
4667,1148301,118570,4,4,3,4,3,4,4,923010,0,78,5,1,13,인천 중구,5
4668,1148302,118570,4,4,3,4,3,4,4,923010,0,73,5,1,13,인천 중구,5
4669,1162801,105760,5,4,4,3,3,3,4,923010,40000,78,5,1,13,인천 중구,5
4670,1164401,105001,4,4,4,3,4,4,4,923010,30000,73,5,1,13,인천 중구,5
4671,1182902,105208,4,3,4,4,4,4,4,923010,30000,76,5,1,13,인천 중구,5
4672,1191801,112881,3,2,3,3,3,3,4,923010,0,77,5,1,13,인천 중구,5
4673,1192902,101681,3,3,4,3,4,4,4,923010,0,68,5,1,13,인천 중구,5
4674,1193001,101690,3,3,4,3,3,4,4,923010,0,78,5,1,13,인천 중구,5
4675,1193002,101690,3,3,4,3,3,4,4,923010,0,68,5,1,13,인천 중구,5
4676,1193101,101701,4,4,4,3,4,4,4,923010,0,72,5,1,13,인천 중구,5
4677,1193102,101701,4,4,4,3,4,4,4,923010,0,66,5,1,13,인천 중구,5
4678,1193401,101928,3,4,4,3,4,4,3,923010,0,77,5,1,13,인천 중구,5
4679,1193501,101929,3,3,4,4,4,4,3,923010,0,74,5,1,13,인천 중구,5
4680,1193502,101929,3,3,4,4,4,4,3,923010,0,67,5,1,13,인천 중구,5
4681,1527402,121347,4,4,4,4,4,4,5,923010,30000,67,5,1,13,인천 중구,5
4682,1003105,110668,4,4,4,4,4,4,5,923010,33333,21,2,1,4,인천 중구,5
4683,1008403,110911,3,3,3,3,3,3,3,923010,37667,24,2,1,4,인천 중구,5
4684,1008403,110923,4,4,3,2,3,2,3,923010,20000,24,2,1,4,인천 중구,5
4685,1008404,110923,4,4,3,2,3,2,3,923010,20000,22,2,1,4,인천 중구,5
4686,1031105,115148,4,5,5,4,4,5,4,923010,36000,26,2,1,4,인천 중구,5
4687,1097504,110318,4,4,4,3,3,4,4,923010,40000,26,2,1,4,인천 중구,5
4688,1097504,110324,4,4,4,3,3,3,4,923010,30000,26,2,1,4,인천 중구,5
4689,1097504,119225,4,4,4,4,4,3,4,923010,30000,26,2,1,4,인천 중구,5
4690,1102703,122943,5,5,5,4,4,4,5,923010,25000,28,2,1,4,인천 중구,5
4691,1102704,122943,5,5,5,4,4,4,5,923010,25000,21,2,1,4,인천 중구,5
4692,1140304,101844,4,3,4,4,4,4,4,923010,37500,29,2,1,4,인천 중구,5
4693,1158703,122874,4,4,4,4,3,4,3,923010,30000,20,2,1,4,인천 중구,5
4694,1160704,123770,4,4,4,4,4,4,4,923010,44000,21,2,1,4,인천 중구,5
4695,1319001,103910,4,4,3,4,3,4,4,923010,25000,28,2,1,4,인천 중구,5
4696,1003901,122961,5,4,4,4,4,4,4,923010,60000,68,5,2,14,인천 중구,5
4697,1003902,122961,5,4,4,4,4,4,4,923010,60000,66,5,2,14,인천 중구,5
