PID,M_ID,q6_1,q6_1_1
1014301,120288,932,30
1014301,120290,934,30
1014302,102853,923,320
1014302,102851,931,60
1014302,102857,931,370
1014302,120292,933,10
1014302,900113,923,320
1014302,120284,932,60
1014302,120285,932,40
1014302,120294,931,320
1014302,120299,932,60
1014302,120288,932,30
1014302,120290,934,30
1014401,102887,937,60
1014401,102889,911,50
1014401,102890,931,130
1014402,102887,937,60
1014402,102889,911,50
1014402,102890,931,130
1014602,102904,932,390
1014603,102905,932,70
1014603,900114,932,70
1014604,102906,931,370
1014701,120332,921,90
1014702,120332,921,90
1014702,120333,935,10
1014704,120332,921,90
1014704,120333,935,10
1014801,102863,931,380
1014801,120256,931,380
1014801,120262,931,380
1014802,102863,931,380
1014802,120256,931,380
1014802,120262,931,380
1014803,102863,931,380
1014803,120256,931,380
1014803,120262,931,380
1014901,106947,931,190
1014901,122771,931,370
1014901,122768,932,60
1014901,122782,931,370
1014902,122768,932,60
1014902,122789,931,190
1014902,122792,931,190
1014903,122768,932,60
1014904,122768,932,60
1015101,107202,929,10
1015101,107204,931,270
1015101,118017,934,20
1015102,107202,929,10
1015102,107204,931,270
1015102,118017,934,20
1015103,118024,932,30
1015104,107204,931,270
1015203,119342,931,270
1015205,119342,931,270
1015301,103661,932,10
1015301,120499,932,400
1015302,103661,932,10
1015302,120499,932,400
1015304,103666,932,10
1015304,120499,932,400
1015401,103506,932,410
1015401,103507,932,400
1015401,118447,932,60
1015402,103506,932,410
1015402,103507,932,400
1015402,118447,932,60
1015601,106852,932,330
1015601,120509,932,340
1015601,120511,932,340
1015602,106861,933,20
1015602,106852,932,330
1015602,120509,932,340
1015602,120511,932,340
1015603,106852,932,330
1015603,120509,932,340
1015603,120511,932,340
1015604,106852,932,330
1015604,120509,932,340
1015604,120511,932,340
1015701,118151,911,40
1015702,118151,911,40
1015703,103510,932,10
1015703,118151,911,40
1015703,900141,932,10
1015801,103500,911,240
1015801,103501,931,270
1015801,118148,931,270
1015802,103500,911,240
1015802,103501,931,270
1015802,118148,931,270
1015901,107205,939,20
1015902,107206,932,60
1015902,107205,939,20
1015902,107207,935,10
1015902,118730,935,20
1015903,107205,939,20
1016001,103511,931,370
1016001,103512,931,320
1016001,120419,938,350
1016001,120419,936,400
1016002,103511,931,370
1016002,103512,931,320
1016002,120419,938,350
1016002,120419,936,400
1016003,103511,931,370
1016003,103512,931,320
1016003,103513,932,10
1016003,120419,938,350
1016003,120419,936,400
1016004,103026,938,90
1016004,119320,931,320
1016005,103026,938,90
1016101,101797,931,370
1016202,109085,931,370
1016203,109089,911,100
1016203,109093,911,100
1016401,106914,934,380
1016401,117688,939,20
1016401,117690,938,90
1016402,106914,934,380
1016402,117688,939,20
1016402,117690,938,90
1016501,101812,911,80
1016501,101815,931,380
1016501,101816,932,390
1016501,101818,931,260
1016501,101820,931,380
1016501,117140,932,400
1016501,101807,931,380
1016501,101809,931,260
1016501,117147,932,350
1016501,117151,932,30
1016502,101812,911,80
1016502,101815,931,380
1016502,101816,932,390
1016502,101818,931,260
1016502,101820,931,380
1016502,117140,932,400
1016502,101807,931,380
1016502,101809,931,260
1016502,117146,911,30
1016502,117147,932,350
